origin,sector,model,observed_defaulted,observed_obligors,observed_rate,predicted_rate,log_score
2010-01-31,Basic Materials,B0 = Binomial-best static baseline,76,20696,0.0036722071897951295,0.0030990200949683184,-4.122019948641352
2010-01-31,Basic Materials,B1 = Beta-Binomial-best static baseline,76,20696,0.0036722071897951295,0.0030990200949683184,-4.518261308736953
2010-01-31,Capital Goods,B0 = Binomial-best static baseline,91,21408,0.004250747384155456,0.0039461751513517485,-3.419539399935857
2010-01-31,Capital Goods,B1 = Beta-Binomial-best static baseline,91,21408,0.004250747384155456,0.0039461751513517485,-4.555269207831202
2010-01-31,Consumer,B0 = Binomial-best static baseline,54,21848,0.002471622116440864,0.0027178212753283257,-3.1657411961135935
2010-01-31,Consumer,B1 = Beta-Binomial-best static baseline,54,21848,0.002471622116440864,0.0027178212753283257,-3.6043351100584005
2010-01-31,Energy,B0 = Binomial-best static baseline,83,22405,0.003704530238785985,0.005103435297491296,-7.902332084226899
2010-01-31,Energy,B1 = Beta-Binomial-best static baseline,83,22405,0.003704530238785985,0.005103435297491296,-5.043942829208049
2010-01-31,Finance,B0 = Binomial-best static baseline,137,23142,0.00591997234465474,0.005481382201831709,-3.7744578109822413
2010-01-31,Finance,B1 = Beta-Binomial-best static baseline,137,23142,0.00591997234465474,0.005481382201831709,-5.009152535267958
2010-01-31,Healthcare,B0 = Binomial-best static baseline,52,23442,0.002218240764439894,0.002246904333727022,-2.899366472121848
2010-01-31,Healthcare,B1 = Beta-Binomial-best static baseline,52,23442,0.002218240764439894,0.002246904333727022,-4.1812925347244345
2010-01-31,Technology,B0 = Binomial-best static baseline,63,23793,0.00264783759929391,0.0024531863545491474,-3.1700189636632317
2010-01-31,Technology,B1 = Beta-Binomial-best static baseline,63,23793,0.00264783759929391,0.002453186354549148,-4.1010169598174
2010-01-31,Utilities,B0 = Binomial-best static baseline,32,24252,0.0013194788058716806,0.002300389296650202,-8.667552439405398
2010-01-31,Utilities,B1 = Beta-Binomial-best static baseline,32,24252,0.0013194788058716806,0.002300389296650202,-4.316708525929499
2010-01-31,Basic Materials,B2 = One-factor dynamic common-eps model,76,20696,0.0036722071897951295,0.003694433706996521,-3.084953864328085
2010-01-31,Capital Goods,B2 = One-factor dynamic common-eps model,91,21408,0.004250747384155456,0.004445690084703537,-3.2664302064898294
2010-01-31,Consumer,B2 = One-factor dynamic common-eps model,54,21848,0.002471622116440864,0.003017820090321006,-4.068693466303429
2010-01-31,Energy,B2 = One-factor dynamic common-eps model,83,22405,0.003704530238785985,0.005663170423268616,-11.82655676910305
2010-01-31,Finance,B2 = One-factor dynamic common-eps model,137,23142,0.00591997234465474,0.005993431855500821,-3.3870923175657026
2010-01-31,Healthcare,B2 = One-factor dynamic common-eps model,52,23442,0.002218240764439894,0.002383044677644115,-3.0321503312148153
2010-01-31,Technology,B2 = One-factor dynamic common-eps model,63,23793,0.00264783759929391,0.002831645161742249,-3.1360217290706203
2010-01-31,Utilities,B2 = One-factor dynamic common-eps model,32,24252,0.0013194788058716806,0.002555115729286932,-11.491428284846997
2010-01-31,Basic Materials,B3 = Two-factor dynamic common-eps model,76,20696,0.0036722071897951295,0.003591193145213246,-3.1024017892784173
2010-01-31,Capital Goods,B3 = Two-factor dynamic common-eps model,91,21408,0.004250747384155456,0.004362076482311909,-3.203963250200829
2010-01-31,Consumer,B3 = Two-factor dynamic common-eps model,54,21848,0.002471622116440864,0.0030193457829854756,-4.0747516821905805
2010-01-31,Energy,B3 = Two-factor dynamic common-eps model,83,22405,0.003704530238785985,0.005465446700885219,-10.337927833739272
2010-01-31,Finance,B3 = Two-factor dynamic common-eps model,137,23142,0.00591997234465474,0.0059486359577103675,-3.3781787851971217
2010-01-31,Healthcare,B3 = Two-factor dynamic common-eps model,52,23442,0.002218240764439894,0.00270298324943833,-3.983781965887651
2010-01-31,Technology,B3 = Two-factor dynamic common-eps model,63,23793,0.00264783759929391,0.0027544515894030457,-3.0403766968625945
2010-01-31,Utilities,B3 = Two-factor dynamic common-eps model,32,24252,0.0013194788058716806,0.0024443344878772883,-10.219970742989346
2010-07-31,Basic Materials,B0 = Binomial-best static baseline,78,20269,0.003848241156445804,0.003131062178810877,-4.652187281039616
2010-07-31,Basic Materials,B1 = Beta-Binomial-best static baseline,78,20269,0.003848241156445804,0.003131062178810877,-4.562769518032496
2010-07-31,Capital Goods,B0 = Binomial-best static baseline,80,21159,0.003780897017817477,0.003987571447870423,-3.224889584310503
2010-07-31,Capital Goods,B1 = Beta-Binomial-best static baseline,80,21159,0.003780897017817477,0.003987571447870423,-4.381524365927589
2010-07-31,Consumer,B0 = Binomial-best static baseline,70,21014,0.0033311125916055963,0.0026823891854566703,-4.576762554330742
2010-07-31,Consumer,B1 = Beta-Binomial-best static baseline,70,21014,0.0033311125916055963,0.0026823891854566703,-4.168141219848621
2010-07-31,Energy,B0 = Binomial-best static baseline,72,21881,0.0032905260271468397,0.005082749379059585,-11.001767836788702
2010-07-31,Energy,B1 = Beta-Binomial-best static baseline,72,21881,0.0032905260271468397,0.005082749379059585,-4.9828410883521315
2010-07-31,Finance,B0 = Binomial-best static baseline,134,22726,0.005896330194490891,0.005483892090099528,-3.711418596371786
2010-07-31,Finance,B1 = Beta-Binomial-best static baseline,134,22726,0.005896330194490891,0.005483892090099527,-4.961338043423552
2010-07-31,Healthcare,B0 = Binomial-best static baseline,50,22601,0.0022122914915269237,0.0022282024525918545,-2.876799165346874
2010-07-31,Healthcare,B1 = Beta-Binomial-best static baseline,50,22601,0.0022122914915269237,0.0022282024525918545,-4.121576673302798
2010-07-31,Technology,B0 = Binomial-best static baseline,63,22964,0.0027434244905068803,0.0024869388251017558,-3.2850019276682545
2010-07-31,Technology,B1 = Beta-Binomial-best static baseline,63,22964,0.0027434244905068803,0.002486938825101756,-4.10915857285454
2010-07-31,Utilities,B0 = Binomial-best static baseline,43,24003,0.0017914427363246261,0.002260804993621957,-4.063246912594963
2010-07-31,Utilities,B1 = Beta-Binomial-best static baseline,43,24003,0.0017914427363246261,0.002260804993621957,-3.949006026379891
2010-07-31,Basic Materials,B2 = One-factor dynamic common-eps model,78,20269,0.003848241156445804,0.003480355880079596,-3.478711974112528
2010-07-31,Capital Goods,B2 = One-factor dynamic common-eps model,80,21159,0.003780897017817477,0.00435275769176237,-3.9447090257431654
2010-07-31,Consumer,B2 = One-factor dynamic common-eps model,70,21014,0.0033311125916055963,0.00294676564829796,-3.549471232715284
2010-07-31,Energy,B2 = One-factor dynamic common-eps model,72,21881,0.0032905260271468397,0.005233612114010633,-12.203038505618707
2010-07-31,Finance,B2 = One-factor dynamic common-eps model,134,22726,0.005896330194490891,0.005892369972718472,-3.3655538699308067
2010-07-31,Healthcare,B2 = One-factor dynamic common-eps model,50,22601,0.0022122914915269237,0.0023360323289529964,-2.9510968141437246
2010-07-31,Technology,B2 = One-factor dynamic common-eps model,63,22964,0.0027434244905068803,0.0027516983103988853,-2.9907417706914217
2010-07-31,Utilities,B2 = One-factor dynamic common-eps model,43,24003,0.0017914427363246261,0.002423308197586413,-4.981218458246751
2010-07-31,Basic Materials,B3 = Two-factor dynamic common-eps model,78,20269,0.003848241156445804,0.003567516897725591,-3.3154538667005937
2010-07-31,Capital Goods,B3 = Two-factor dynamic common-eps model,80,21159,0.003780897017817477,0.0042722560927580065,-3.7338702366799055
2010-07-31,Consumer,B3 = Two-factor dynamic common-eps model,70,21014,0.0033311125916055963,0.002823673106817677,-3.950834741231766
2010-07-31,Energy,B3 = Two-factor dynamic common-eps model,72,21881,0.0032905260271468397,0.005294700120347943,-12.706822383483669
2010-07-31,Finance,B3 = Two-factor dynamic common-eps model,134,22726,0.005896330194490891,0.005774736718589575,-3.394582890360283
2010-07-31,Healthcare,B3 = Two-factor dynamic common-eps model,50,22601,0.0022122914915269237,0.0026869017595091663,-3.8867321693117773
2010-07-31,Technology,B3 = Two-factor dynamic common-eps model,63,22964,0.0027434244905068803,0.0026978459037333797,-2.9992710149581896
2010-07-31,Utilities,B3 = Two-factor dynamic common-eps model,43,24003,0.0017914427363246261,0.002423308197586413,-4.981218458246751
2011-01-31,Basic Materials,B0 = Binomial-best static baseline,70,19586,0.0035739814152966403,0.0031539605129701415,-3.569277776626933
2011-01-31,Basic Materials,B1 = Beta-Binomial-best static baseline,70,19586,0.0035739814152966403,0.0031539605129701415,-4.339620513568434
2011-01-31,Capital Goods,B0 = Binomial-best static baseline,69,20510,0.003364212579229644,0.0039751023721955785,-4.05560246610824
2011-01-31,Capital Goods,B1 = Beta-Binomial-best static baseline,69,20510,0.003364212579229644,0.0039751023721955785,-4.3134327264574495
2011-01-31,Consumer,B0 = Binomial-best static baseline,55,20408,0.0026950215601724815,0.0026950989751865027,-2.922770964613818
2011-01-31,Consumer,B1 = Beta-Binomial-best static baseline,55,20408,0.0026950215601724815,0.0026950989751865027,-3.464341031839581
