date,sector,k_month,obligors,defaulted,monthly_equivalent_default_rate
2000-01-31,Basic Materials,1,1687,11,0.006520450503852994
2000-01-31,Capital Goods,1,1692,3,0.0017730496453900709
2000-01-31,Consumer,1,1770,2,0.0011299435028248588
2000-01-31,Energy,1,2025,8,0.003950617283950617
2000-01-31,Finance,1,2009,16,0.007964161274265804
2000-01-31,Healthcare,1,2175,1,0.0004597701149425287
2000-01-31,Technology,1,2244,5,0.0022281639928698753
2000-01-31,Utilities,1,2422,6,0.002477291494632535
2000-02-29,Basic Materials,1,1602,5,0.003121098626716604
2000-02-29,Capital Goods,1,1633,7,0.004286589099816289
2000-02-29,Consumer,1,1998,9,0.0045045045045045045
2000-02-29,Energy,1,1960,9,0.004591836734693878
2000-02-29,Finance,1,2131,9,0.004223369310183012
2000-02-29,Healthcare,1,1994,6,0.003009027081243731
2000-02-29,Technology,1,2219,8,0.003605227579990987
2000-02-29,Utilities,1,2400,8,0.0033333333333333335
2000-03-31,Basic Materials,1,1601,8,0.004996876951905059
2000-03-31,Capital Goods,1,1741,9,0.005169442848937392
2000-03-31,Consumer,1,1758,2,0.0011376564277588168
2000-03-31,Energy,1,2016,22,0.010912698412698412
2000-03-31,Finance,1,1989,9,0.004524886877828055
2000-03-31,Healthcare,1,2248,8,0.0035587188612099642
2000-03-31,Technology,1,2226,6,0.0026954177897574125
2000-03-31,Utilities,1,2243,3,0.0013374944271065537
2000-04-30,Basic Materials,1,1585,6,0.0037854889589905363
2000-04-30,Capital Goods,1,1715,8,0.004664723032069971
2000-04-30,Consumer,1,1959,3,0.0015313935681470138
2000-04-30,Energy,1,1957,8,0.004087889626980072
2000-04-30,Finance,1,2053,8,0.003896736483195324
2000-04-30,Healthcare,1,2232,5,0.002240143369175627
2000-04-30,Technology,1,2154,9,0.004178272980501393
2000-04-30,Utilities,1,2213,12,0.005422503389064619
2000-05-31,Basic Materials,1,1697,3,0.0017678255745433118
2000-05-31,Capital Goods,1,1755,9,0.005128205128205128
2000-05-31,Consumer,1,1976,5,0.0025303643724696357
2000-05-31,Energy,1,2004,4,0.001996007984031936
2000-05-31,Finance,1,2057,12,0.00583373845405931
2000-05-31,Healthcare,1,2236,7,0.0031305903398926656
2000-05-31,Technology,1,2191,4,0.0018256503879507074
2000-05-31,Utilities,1,2239,5,0.0022331397945511387
2000-06-30,Basic Materials,1,1688,1,0.0005924170616113745
2000-06-30,Capital Goods,1,1719,11,0.006399069226294357
2000-06-30,Consumer,1,1868,9,0.004817987152034261
2000-06-30,Energy,1,2072,5,0.002413127413127413
2000-06-30,Finance,1,1940,8,0.004123711340206186
2000-06-30,Healthcare,1,2143,7,0.0032664489034064394
2000-06-30,Technology,1,2231,4,0.0017929179740026895
2000-06-30,Utilities,1,2366,4,0.0016906170752324597
2000-07-31,Basic Materials,1,1690,5,0.0029585798816568047
2000-07-31,Capital Goods,1,1801,3,0.001665741254858412
2000-07-31,Consumer,1,1881,11,0.005847953216374269
2000-07-31,Energy,1,1971,3,0.0015220700152207
2000-07-31,Finance,1,2084,8,0.003838771593090211
2000-07-31,Healthcare,1,2093,5,0.0023889154323936935
2000-07-31,Technology,1,2154,5,0.002321262766945218
2000-07-31,Utilities,1,2311,4,0.0017308524448290783
2000-08-31,Basic Materials,1,1728,5,0.0028935185185185184
2000-08-31,Capital Goods,1,1840,6,0.003260869565217391
2000-08-31,Consumer,1,1949,3,0.0015392508978963571
2000-08-31,Energy,1,1752,6,0.003424657534246575
2000-08-31,Finance,1,2179,7,0.0032124827902707664
2000-08-31,Healthcare,1,1999,7,0.003501750875437719
2000-08-31,Technology,1,2141,2,0.0009341429238673517
2000-08-31,Utilities,1,2201,3,0.0013630168105406633
2000-09-30,Basic Materials,1,1586,2,0.0012610340479192938
2000-09-30,Capital Goods,1,1786,2,0.0011198208286674132
2000-09-30,Consumer,1,1938,3,0.0015479876160990713
2000-09-30,Energy,1,1861,4,0.0021493820526598604
2000-09-30,Finance,1,2167,5,0.0023073373327180432
2000-09-30,Healthcare,1,2055,5,0.0024330900243309003
2000-09-30,Technology,1,2249,1,0.00044464206313917296
2000-09-30,Utilities,1,2121,3,0.0014144271570014145
2000-10-31,Basic Materials,1,1715,2,0.0011661807580174927
2000-10-31,Capital Goods,1,1819,7,0.0038482682792743265
2000-10-31,Consumer,1,1858,4,0.002152852529601722
2000-10-31,Energy,1,1922,11,0.005723204994797087
2000-10-31,Finance,1,2062,6,0.002909796314258002
2000-10-31,Healthcare,1,2099,6,0.0028585040495474035
2000-10-31,Technology,1,2120,10,0.0047169811320754715
2000-10-31,Utilities,1,2203,5,0.0022696323195642307
2000-11-30,Basic Materials,1,1700,4,0.002352941176470588
2000-11-30,Capital Goods,1,1843,9,0.0048833423765599565
2000-11-30,Consumer,1,1964,6,0.003054989816700611
2000-11-30,Energy,1,1985,9,0.004534005037783375
2000-11-30,Finance,1,2054,6,0.0029211295034079843
2000-11-30,Healthcare,1,2205,6,0.0027210884353741495
2000-11-30,Technology,1,2055,3,0.00145985401459854
2000-11-30,Utilities,1,2276,4,0.0017574692442882249
2000-12-31,Basic Materials,1,1699,0,0.0
2000-12-31,Capital Goods,1,1885,2,0.0010610079575596816
2000-12-31,Consumer,1,1990,6,0.003015075376884422
2000-12-31,Energy,1,2049,4,0.0019521717911176184
2000-12-31,Finance,1,2147,13,0.006054960409874243
2000-12-31,Healthcare,1,1999,4,0.002001000500250125
2000-12-31,Technology,1,2140,2,0.0009345794392523365
2000-12-31,Utilities,1,2202,6,0.0027247956403269754
2001-01-31,Basic Materials,1,1692,3,0.0017730496453900709
2001-01-31,Capital Goods,1,1881,1,0.000531632110579479
2001-01-31,Consumer,1,1939,2,0.0010314595152140279
2001-01-31,Energy,1,2026,1,0.0004935834155972359
2001-01-31,Finance,1,2172,11,0.0050644567219152855
2001-01-31,Healthcare,1,2023,5,0.002471576866040534
2001-01-31,Technology,1,2171,6,0.0027637033625057578
2001-01-31,Utilities,1,2060,4,0.001941747572815534
2001-02-28,Basic Materials,1,1648,5,0.003033980582524272
2001-02-28,Capital Goods,1,1684,10,0.0059382422802850355
2001-02-28,Consumer,1,1947,5,0.0025680534155110425
2001-02-28,Energy,1,1836,8,0.004357298474945534
2001-02-28,Finance,1,2026,13,0.006416584402764067
2001-02-28,Healthcare,1,2113,3,0.001419782300047326
2001-02-28,Technology,1,2186,9,0.004117108874656907
2001-02-28,Utilities,1,2123,10,0.004710315591144607
2001-03-31,Basic Materials,1,1642,6,0.0036540803897685747
2001-03-31,Capital Goods,1,1742,10,0.0057405281285878304
2001-03-31,Consumer,1,1940,3,0.0015463917525773195
2001-03-31,Energy,1,1935,5,0.002583979328165375
2001-03-31,Finance,1,1949,9,0.004617752693689072
2001-03-31,Healthcare,1,2056,4,0.0019455252918287938
2001-03-31,Technology,1,2011,8,0.003978120338140228
2001-03-31,Utilities,1,2300,5,0.002173913043478261
2001-04-30,Basic Materials,1,1747,4,0.0022896393817973667
2001-04-30,Capital Goods,1,1596,4,0.002506265664160401
2001-04-30,Consumer,1,1981,10,0.005047955577990914
2001-04-30,Energy,1,2044,7,0.003424657534246575
2001-04-30,Finance,1,2073,14,0.006753497346840328
2001-04-30,Healthcare,1,2108,4,0.0018975332068311196
2001-04-30,Technology,1,2097,2,0.0009537434430138292
2001-04-30,Utilities,1,2092,5,0.002390057361376673
2001-05-31,Basic Materials,1,1656,4,0.0024154589371980675
2001-05-31,Capital Goods,1,1819,4,0.0021990104452996153
2001-05-31,Consumer,1,1968,4,0.0020325203252032522
