k_month,sector,blocks,mean_monthly_equivalent_default_rate,var_monthly_equivalent_default_rate,mean_pairwise_correlation,leading_correlation_eigenvalue_share
1,Basic Materials,312,0.003352314341681939,3.794867085395088e-06,0.19083446620184025,0.3047797916233547
1,Capital Goods,312,0.0041828756680092685,4.8294717711039245e-06,0.19083446620184025,0.3047797916233547
1,Consumer,312,0.0027939498882463723,2.3398685550061404e-06,0.19083446620184025,0.3047797916233547
1,Energy,312,0.005068179808360608,9.994173824657645e-06,0.19083446620184025,0.3047797916233547
1,Finance,312,0.005873008692859423,9.6919394484236e-06,0.19083446620184025,0.3047797916233547
1,Healthcare,312,0.0023012615306586635,1.9532179856595275e-06,0.19083446620184025,0.3047797916233547
1,Technology,312,0.0027448881508837972,2.4829974345256276e-06,0.19083446620184025,0.3047797916233547
1,Utilities,312,0.0022138819485998363,1.3184787318709413e-06,0.19083446620184025,0.3047797916233547
3,Basic Materials,104,0.0033570824863992754,1.6155725960115234e-06,0.3626568489102397,0.45377352955279343
3,Capital Goods,104,0.004177557625868083,2.1885362178827467e-06,0.3626568489102397,0.45377352955279343
3,Consumer,104,0.0027955175135189543,9.460693154908637e-07,0.3626568489102397,0.45377352955279343
3,Energy,104,0.0050657975068026705,5.434359840665379e-06,0.3626568489102397,0.45377352955279343
3,Finance,104,0.005870095191015376,6.3698636235564105e-06,0.3626568489102397,0.45377352955279343
3,Healthcare,104,0.002301413039959044,8.625680038100671e-07,0.3626568489102397,0.45377352955279343
3,Technology,104,0.0027466989148069486,1.0816109055836404e-06,0.3626568489102397,0.45377352955279343
3,Utilities,104,0.002213340734063251,5.077441612736889e-07,0.3626568489102397,0.45377352955279343
6,Basic Materials,52,0.0033580136845676317,1.1208815605977672e-06,0.5007972174955392,0.5701262194664561
6,Capital Goods,52,0.004179914814024811,1.714981922369221e-06,0.5007972174955392,0.5701262194664561
6,Consumer,52,0.0027965662065148936,5.15960890441621e-07,0.5007972174955392,0.5701262194664561
6,Energy,52,0.005067480898486822,4.08750463896876e-06,0.5007972174955392,0.5701262194664561
6,Finance,52,0.005864899490480204,4.817902830650766e-06,0.5007972174955392,0.5701262194664561
6,Healthcare,52,0.0023034343352168114,4.996245993856889e-07,0.5007972174955392,0.5701262194664561
6,Technology,52,0.002747192496341181,6.46384329247331e-07,0.5007972174955392,0.5701262194664561
6,Utilities,52,0.002211598838656739,2.888541232452036e-07,0.5007972174955392,0.5701262194664561
12,Basic Materials,26,0.0033569315480936166,6.616718180627445e-07,0.5262385793506248,0.5982027992953645
12,Capital Goods,26,0.004176751437468303,9.62626138122189e-07,0.5262385793506248,0.5982027992953645
12,Consumer,26,0.0027973342125554874,2.803052136483244e-07,0.5262385793506248,0.5982027992953645
12,Energy,26,0.00506541985385777,3.273019348428114e-06,0.5262385793506248,0.5982027992953645
12,Finance,26,0.00586750170751427,3.493161448684234e-06,0.5262385793506248,0.5982027992953645
12,Healthcare,26,0.0023011265581683853,2.2691938360217683e-07,0.5262385793506248,0.5982027992953645
12,Technology,26,0.002748789046022576,4.23032448956199e-07,0.5262385793506248,0.5982027992953645
12,Utilities,26,0.00221223262860659,1.5761558477909474e-07,0.5262385793506248,0.5982027992953645
