mode,lag_months,acf
PC1,0,1.0
PC1,1,0.562232477012635
PC1,2,0.4944369528632542
PC1,3,0.45325502237502124
PC1,4,0.34766831000498216
PC1,5,0.30324350618226525
PC1,6,0.21155230810111347
PC1,7,0.13530763054199396
PC1,8,0.09433597428991942
PC1,9,0.11951586484401022
PC1,10,0.07434316215008151
PC1,11,0.11373063879685837
PC1,12,0.056537661676797815
PC1,13,0.08800411493833306
PC1,14,0.083777090060917
PC1,15,0.051809060769868985
PC1,16,0.06223120561057399
PC1,17,0.06222353537977563
PC1,18,0.051929177042243105
PC1,19,0.04477340045969701
PC1,20,0.09217438715198771
PC1,21,0.007755701292880196
PC1,22,0.03747605274536688
PC1,23,0.04168948541238064
PC1,24,0.05203514180794017
PC2,0,1.0
PC2,1,0.1341673215426324
PC2,2,0.07569278573066722
PC2,3,0.05507343947793248
PC2,4,0.10774300167779492
PC2,5,0.1121231640439264
PC2,6,0.02843626617164604
PC2,7,0.03537807004214734
PC2,8,0.02882454436019788
PC2,9,0.06198900778321644
PC2,10,-0.015524180327633611
PC2,11,-0.07611397401652861
PC2,12,-0.03975824140069027
PC2,13,-0.014607638731020438
PC2,14,-0.026157123883518794
PC2,15,0.029877569551397348
PC2,16,-0.046136007739679165
PC2,17,0.050087884458585065
PC2,18,-0.06442938730631166
PC2,19,-0.003992322275612687
PC2,20,-0.030045942763373055
PC2,21,-0.01769059434958895
PC2,22,-0.05068857288550735
PC2,23,-0.07028023898657602
PC2,24,-0.04302416403442265
PC3,0,1.0
PC3,1,-0.0430408974317706
PC3,2,0.06138935622853616
PC3,3,-0.13792914678625678
PC3,4,0.04807541295386504
PC3,5,-0.023869405316956843
PC3,6,0.004543506013188006
PC3,7,-0.003915851401294331
PC3,8,-0.012417416591945967
PC3,9,-0.07259311679588784
PC3,10,-0.0314592601700245
PC3,11,0.07870386782979244
PC3,12,-0.0012941532396375114
PC3,13,0.0035602096699799976
PC3,14,-0.010277105781284988
PC3,15,-0.04456707161875206
PC3,16,0.015772219696689904
PC3,17,0.07786479233791338
PC3,18,0.07678359322469855
PC3,19,-0.025833346754610617
PC3,20,-0.007158620863601128
PC3,21,-0.04092860460520745
PC3,22,-0.035177041859308616
PC3,23,0.004627744679297643
PC3,24,0.017269177688390463
PC4,0,1.0
PC4,1,0.01946676000422449
PC4,2,0.05100262896887366
PC4,3,0.012322144227160306
PC4,4,-0.09124356024135905
PC4,5,-0.030960758281070668
PC4,6,0.06672457764555215
PC4,7,-0.049064539493861956
PC4,8,-0.025299467999831314
PC4,9,0.03211427246018286
PC4,10,-0.05725614168224973
PC4,11,-0.0675474230017437
PC4,12,0.038698799301447796
PC4,13,-0.11200475247121747
PC4,14,0.02753873621356306
PC4,15,0.06767524232213594
PC4,16,0.01872952579338283
PC4,17,0.005451392611251896
PC4,18,0.0009610391140727205
PC4,19,-0.03135444608574435
PC4,20,0.036700600919440655
PC4,21,0.029612120967033903
PC4,22,-0.0004467957217077969
PC4,23,-0.047145517262841184
PC4,24,0.060874521029030626
