model,sector,mean_log_score,rmse_rate,n_forecasts
B0 = Binomial-best static baseline,Basic Materials,-4.194166034668889,0.0006578952196181047,31
B0 = Binomial-best static baseline,Capital Goods,-5.95213297384408,0.001078110767987628,31
B0 = Binomial-best static baseline,Consumer,-4.587161422094187,0.0006479571381488787,31
B0 = Binomial-best static baseline,Energy,-9.157498612700548,0.0016012618853693897,31
B0 = Binomial-best static baseline,Finance,-12.29604270685466,0.002117454357546682,31
B0 = Binomial-best static baseline,Healthcare,-4.270326043476545,0.0005079298689540948,31
B0 = Binomial-best static baseline,Technology,-5.367745348456352,0.0007222238737060674,31
B0 = Binomial-best static baseline,Utilities,-3.724925716462408,0.00036653161858984695,31
B1 = Beta-Binomial-best static baseline,Basic Materials,-4.3269827159152765,0.0006578952196181047,31
B1 = Beta-Binomial-best static baseline,Capital Goods,-4.657404275608868,0.0010781107679876279,31
B1 = Beta-Binomial-best static baseline,Consumer,-4.115603652576512,0.0006479571381488787,31
B1 = Beta-Binomial-best static baseline,Energy,-5.246799655530908,0.0016012618853693897,31
B1 = Beta-Binomial-best static baseline,Finance,-5.342120300800631,0.002117454357546682,31
B1 = Beta-Binomial-best static baseline,Healthcare,-4.25621513731349,0.0005079298689540948,31
B1 = Beta-Binomial-best static baseline,Technology,-4.490661972939592,0.0007222238737060674,31
B1 = Beta-Binomial-best static baseline,Utilities,-3.970058277149885,0.00036653161858984695,31
B2 = One-factor dynamic common-eps model,Basic Materials,-4.058679949515274,0.0006192612825024605,31
B2 = One-factor dynamic common-eps model,Capital Goods,-5.673757909263178,0.0010124234549610304,31
B2 = One-factor dynamic common-eps model,Consumer,-4.518688646177004,0.0006306548856912881,31
B2 = One-factor dynamic common-eps model,Energy,-9.184802354174973,0.0016081158830992246,31
B2 = One-factor dynamic common-eps model,Finance,-11.399008815540556,0.0020153230245441526,31
B2 = One-factor dynamic common-eps model,Healthcare,-4.220888452554039,0.0005011699544909884,31
B2 = One-factor dynamic common-eps model,Technology,-4.713908225921108,0.0006241222386404288,31
B2 = One-factor dynamic common-eps model,Utilities,-4.135021025233851,0.0004646472488445644,31
B3 = Two-factor dynamic common-eps model,Basic Materials,-4.070733675398118,0.0006236371913030136,31
B3 = Two-factor dynamic common-eps model,Capital Goods,-5.568671078809285,0.0009932018197290487,31
B3 = Two-factor dynamic common-eps model,Consumer,-4.5001870028512165,0.0006282224708672436,31
B3 = Two-factor dynamic common-eps model,Energy,-8.99556904055097,0.0015795369808744594,31
B3 = Two-factor dynamic common-eps model,Finance,-11.441361130430902,0.0020199558981800025,31
B3 = Two-factor dynamic common-eps model,Healthcare,-4.72281005720217,0.0006023293515275178,31
B3 = Two-factor dynamic common-eps model,Technology,-4.774541830898926,0.0006348179404336105,31
B3 = Two-factor dynamic common-eps model,Utilities,-4.061520461005519,0.0004480985294806197,31
